Timestamp,Age Group?,Occupation?,Gender,What type of smartphone do you primarily use?,Average daily mobile screen time? ,Which app categories do you use daily?,Which category do you spend the MOST time on?,How often do you see ads while using mobile apps?,Which ad formats do you encounter most frequently?,In which app category do you feel ads are MOST excessive?,Fill the following [Ads interrupt my app usage experience],Fill the following [I feel frustrated due to frequent advertisements],Fill the following [Ads reduce my enjoyment while using apps],Fill the following [Ads have caused me to close an app or stop using it temporarily],Ads have made me uninstall an app in the past,Which ad format do you tolerate the MOST?,Which time do you find ads MOST annoying?,Would you pay for an ad-free version of an app you use frequently?
05/02/2026 21:39:23,25–34,Working professional,Female,iOS,Less than 2 hours,"Video / OTT, Gaming",,Rarely,Banner ads,Video / OTT,Strongly agree,Neutral,Strongly agree,Agree,No,Banner ads,Evening,Yes
05/02/2026 21:39:24,25–34,Working professional,Female,iOS,4–6 hours,"Video / OTT, News / Reading",,Sometimes,Unskippable ads,Utility / Tools,Neutral,Disagree,Agree,Agree,No,Rewarded ads,Afternoon,Yes
05/02/2026 21:39:24,25–34,Working professional,Male,Android,Less than 2 hours,"Social Media, Gaming",,Rarely,Rewarded ads,Utility / Tools,Disagree,Strongly disagree,Strongly agree,Neutral,No,Rewarded ads,Afternoon,Yes
05/02/2026 21:39:24,25–34,Working professional,Male,Android,More than 6 hours,"Gaming, Education",Social Media,Often,Unskippable ads,Shopping / E-commerce,Strongly agree,Agree,Strongly disagree,Agree,No,Rewarded ads,Evening,No
05/02/2026 21:39:24,35–44,Working professional,Male,Android,More than 6 hours,Education,Gaming,Sometimes,Unskippable ads,Utility / Tools,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Banner ads,Late night,Yes
05/02/2026 21:39:24,25–34,Working professional,Prefer not to say,iOS,More than 6 hours,"Social Media, Shopping / E-commerce",,Very often,Sponsored posts,Video / OTT,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Yes,Sponsored content,Morning,Yes
05/02/2026 21:39:24,18–24,Working professional,Male,Android,Less than 2 hours,,"Social Media, Video / OTT, News / Reading",Sometimes,Banner ads,Video / OTT,Neutral,Disagree,Strongly disagree,Neutral,No,Sponsored content,Late night,Yes
05/02/2026 21:39:24,25–34,Working professional,Male,Android,More than 6 hours,Education,,Very often,Unskippable ads,Shopping / E-commerce,Disagree,Strongly agree,Neutral,Disagree,No,Skippable video ads,Late night,Yes
05/02/2026 21:39:24,25–34,Working professional,Female,Android,Less than 2 hours,,Video / OTT,Sometimes,Video ads,Social Media,Neutral,Strongly agree,Disagree,Neutral,Yes,None,Late night,No
05/02/2026 21:39:24,25–34,Student,Male,Android,2–4 hours,,Social Media,Rarely,Sponsored posts,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,No,Skippable video ads,Late night,Yes
05/02/2026 21:39:24,45+,Self-employed,Male,Android,Less than 2 hours,,"Gaming, News / Reading",Often,Video ads,Video / OTT,Agree,Strongly disagree,Agree,Strongly agree,No,Banner ads,Afternoon,No
05/02/2026 21:39:24,25–34,Student,Male,Android,4–6 hours,,,Sometimes,Unskippable ads,Social Media,Disagree,Neutral,Neutral,Agree,Yes,Rewarded ads,Morning,Yes
05/02/2026 21:39:25,25–34,Working professional,Male,Android,4–6 hours,,Utility / Tools,Very often,Rewarded ads,Gaming,Disagree,Neutral,Neutral,Disagree,No,Rewarded ads,Morning,No
05/02/2026 21:39:25,18–24,Student,Prefer not to say,Android,4–6 hours,"Utility / Tools, Education",,Rarely,Unskippable ads,Gaming,Disagree,Agree,Strongly agree,Strongly agree,No,Skippable video ads,Evening,Yes
05/02/2026 21:39:25,18–24,Working professional,Female,Android,4–6 hours,"Gaming, Shopping / E-commerce","Video / OTT, Education",Often,Sponsored posts,Education,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,No,Banner ads,Afternoon,No
05/02/2026 21:39:25,18–24,Working professional,Male,iOS,Less than 2 hours,"News / Reading, Utility / Tools","Gaming, Shopping / E-commerce",Often,Banner ads,Gaming,Neutral,Agree,Neutral,Strongly agree,No,Sponsored content,Evening,Yes
05/02/2026 21:39:25,45+,Self-employed,Female,Android,More than 6 hours,Education,,Very often,Sponsored posts,Gaming,Strongly agree,Agree,Disagree,Neutral,Yes,Skippable video ads,Morning,Yes
05/02/2026 21:39:25,25–34,Working professional,Female,Android,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce",Education,Sometimes,Video ads,Education,Neutral,Neutral,Agree,Disagree,Yes,Skippable video ads,Late night,No
05/02/2026 21:40:11,18–24,Student,Male,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:40:57,18–24,Student,Male,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:41:01,45+,Self-employed,Male,Android,4–6 hours,"Social Media, Utility / Tools, Education","Social Media, Gaming",Often,Unskippable ads,Education,Neutral,Agree,Neutral,Disagree,No,None,Morning,Yes
05/02/2026 21:41:01,35–44,Self-employed,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Utility / Tools, Education",Sometimes,Unskippable ads,Social Media,Agree,Neutral,Disagree,Strongly agree,No,Banner ads,Morning,Yes
05/02/2026 21:41:01,18–24,Other,Male,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce","Social Media, Video / OTT, Gaming",Very often,Banner ads,Video / OTT,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,None,Evening,Yes
05/02/2026 21:41:01,45+,Student,Male,iOS,More than 6 hours,"Social Media, Shopping / E-commerce, Utility / Tools","Gaming, News / Reading",Rarely,Banner ads,News / Reading,Neutral,Disagree,Agree,Strongly disagree,Yes,Banner ads,Afternoon,Yes
05/02/2026 21:41:01,18–24,Other,Male,Android,More than 6 hours,Video / OTT,"Social Media, Video / OTT, Gaming, Shopping / E-commerce",Very often,Rewarded ads,Education,Disagree,Neutral,Agree,Strongly disagree,Yes,Banner ads,Morning,Yes
05/02/2026 21:41:02,Below 18,Self-employed,Prefer not to say,iOS,More than 6 hours,"Shopping / E-commerce, Utility / Tools",Gaming,Very often,Sponsored posts,Education,Strongly disagree,Agree,Neutral,Strongly disagree,Yes,Sponsored content,Late night,No
05/02/2026 21:41:02,35–44,Self-employed,Female,Android,4–6 hours,"Utility / Tools, Education","Social Media, Video / OTT, Education",Sometimes,Sponsored posts,Video / OTT,Strongly disagree,Strongly disagree,Disagree,Agree,Yes,Rewarded ads,Afternoon,No
05/02/2026 21:41:02,Below 18,Self-employed,Female,Android,4–6 hours,"Social Media, Gaming","Social Media, Video / OTT",Very often,Unskippable ads,Education,Agree,Disagree,Strongly disagree,Neutral,No,None,Morning,Yes
05/02/2026 21:41:03,18–24,Other,Female,Android,More than 6 hours,"Social Media, Shopping / E-commerce","Social Media, Shopping / E-commerce, News / Reading",Very often,Sponsored posts,Shopping / E-commerce,Neutral,Disagree,Strongly disagree,Disagree,Yes,Rewarded ads,Evening,No
05/02/2026 21:41:03,18–24,Student,Female,Android,4–6 hours,"Social Media, Gaming, Shopping / E-commerce","Utility / Tools, Education",Rarely,Rewarded ads,Education,Agree,Neutral,Neutral,Strongly agree,No,Sponsored content,Evening,Yes
05/02/2026 21:41:03,18–24,Self-employed,Prefer not to say,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Unskippable ads,News / Reading,Agree,Strongly agree,Neutral,Strongly disagree,No,Sponsored content,Morning,Yes
05/02/2026 21:41:03,Below 18,Self-employed,Female,Android,4–6 hours,"Social Media, Gaming","Video / OTT, Shopping / E-commerce",Often,Rewarded ads,Social Media,Strongly agree,Disagree,Agree,Strongly agree,No,Sponsored content,Evening,No
05/02/2026 21:41:03,18–24,Student,Male,Android,2–4 hours,"Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Shopping / E-commerce",Often,Video ads,Gaming,Neutral,Agree,Strongly disagree,Disagree,No,Banner ads,Evening,Yes
05/02/2026 21:41:03,18–24,Self-employed,Prefer not to say,Android,4–6 hours,Gaming,"Social Media, Video / OTT",Very often,Rewarded ads,Social Media,Neutral,Strongly agree,Agree,Neutral,No,Skippable video ads,Afternoon,Yes
05/02/2026 21:41:03,35–44,Other,Female,Android,4–6 hours,News / Reading,"Social Media, Gaming",Rarely,Banner ads,Social Media,Strongly agree,Disagree,Strongly disagree,Strongly agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:41:03,18–24,Self-employed,Male,Android,More than 6 hours,"Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce, News / Reading",Very often,Sponsored posts,Shopping / E-commerce,Disagree,Agree,Strongly disagree,Strongly disagree,Yes,Sponsored content,Morning,Yes
05/02/2026 21:41:03,35–44,Student,Female,Android,More than 6 hours,"Gaming, Shopping / E-commerce, Utility / Tools","Social Media, Video / OTT, Gaming",Often,Video ads,Gaming,Disagree,Disagree,Neutral,Strongly disagree,Yes,Skippable video ads,Evening,Yes
05/02/2026 21:41:03,25–34,Student,Male,Android,4–6 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, News / Reading",Often,Sponsored posts,Social Media,Neutral,Strongly disagree,Strongly disagree,Strongly agree,No,None,Afternoon,Yes
05/02/2026 21:41:03,18–24,Other,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, News / Reading, Education",Sometimes,Unskippable ads,Gaming,Agree,Strongly agree,Disagree,Disagree,No,Sponsored content,Morning,Yes
05/02/2026 21:41:03,18–24,Working professional,Male,Android,4–6 hours,"Social Media, Gaming","Social Media, Video / OTT, Gaming, Education",Often,Rewarded ads,Utility / Tools,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Yes,None,Late night,Yes
05/02/2026 21:41:03,18–24,Working professional,Female,Android,Less than 2 hours,"Gaming, Shopping / E-commerce","Video / OTT, Gaming, Shopping / E-commerce",Rarely,Sponsored posts,Gaming,Strongly disagree,Agree,Neutral,Agree,Yes,Banner ads,Morning,Yes
05/02/2026 21:41:03,45+,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Gaming, News / Reading, Education",Sometimes,Unskippable ads,Video / OTT,Strongly disagree,Strongly disagree,Neutral,Neutral,Yes,Sponsored content,Morning,No
05/02/2026 21:41:03,45+,Student,Male,iOS,More than 6 hours,Shopping / E-commerce,"Social Media, Gaming, Shopping / E-commerce, Utility / Tools",Rarely,Banner ads,Utility / Tools,Agree,Disagree,Strongly agree,Neutral,Yes,Rewarded ads,Morning,Yes
05/02/2026 21:41:03,25–34,Other,Prefer not to say,Android,More than 6 hours,"Social Media, Video / OTT, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce, Education",Sometimes,Sponsored posts,Education,Neutral,Agree,Disagree,Strongly disagree,No,Rewarded ads,Afternoon,Yes
05/02/2026 21:41:05,25–34,Student,Male,Android,2–4 hours,Social Media,"Social Media, Video / OTT, Shopping / E-commerce",Very often,Unskippable ads,Gaming,Agree,Disagree,Disagree,Strongly agree,No,None,Morning,Yes
05/02/2026 21:41:05,Below 18,Self-employed,Male,iOS,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Education","Social Media, Gaming, Shopping / E-commerce, News / Reading",Often,Video ads,Education,Agree,Agree,Agree,Disagree,No,Skippable video ads,Evening,No
05/02/2026 21:41:05,18–24,Self-employed,Prefer not to say,iOS,Less than 2 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce",Often,Banner ads,Shopping / E-commerce,Disagree,Strongly disagree,Strongly agree,Neutral,Yes,Sponsored content,Morning,Yes
05/02/2026 21:41:05,25–34,Other,Male,Android,4–6 hours,"Video / OTT, Utility / Tools","Utility / Tools, Education",Very often,Banner ads,Video / OTT,Disagree,Agree,Strongly agree,Neutral,No,Sponsored content,Afternoon,No
05/02/2026 21:41:05,Below 18,Other,Prefer not to say,Android,4–6 hours,Gaming,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading",Often,Sponsored posts,News / Reading,Strongly agree,Disagree,Strongly agree,Neutral,Yes,Banner ads,Afternoon,No
05/02/2026 21:41:05,Below 18,Student,Prefer not to say,iOS,More than 6 hours,"Social Media, Video / OTT, Utility / Tools",Shopping / E-commerce,Often,Banner ads,Social Media,Neutral,Neutral,Disagree,Agree,Yes,Banner ads,Late night,No
05/02/2026 21:41:14,18–24,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Often,Video ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,No
05/02/2026 21:41:56,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Utility / Tools, Education","Social Media, News / Reading, Utility / Tools",Rarely,Video ads,Gaming,Strongly agree,Agree,Agree,Neutral,Yes,Sponsored content,Evening,Yes
05/02/2026 21:42:24,18–24,Student,Male,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:42:42,18–24,Student,Male,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:43:00,18–24,Student,Male,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:43:05,25–34,Self-employed,Male,Android,Less than 2 hours,"Social Media, Utility / Tools, Education",,Often,Banner ads,News / Reading,Disagree,Strongly disagree,Agree,Agree,No,Skippable video ads,Morning,No
05/02/2026 21:43:06,18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Sponsored posts,Social Media,Strongly agree,Neutral,Agree,Disagree,No,Skippable video ads,Late night,No
05/02/2026 21:43:06,25–34,Self-employed,Female,iOS,Less than 2 hours,,Education,Sometimes,Rewarded ads,Shopping / E-commerce,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Banner ads,Afternoon,Yes
05/02/2026 21:43:06,18–24,Self-employed,Prefer not to say,Android,More than 6 hours,,"Video / OTT, Utility / Tools",Rarely,Rewarded ads,News / Reading,Strongly agree,Disagree,Disagree,Neutral,No,None,Evening,No
05/02/2026 21:43:07,25–34,Working professional,Female,iOS,Less than 2 hours,"Social Media, Utility / Tools, Education",,Sometimes,Sponsored posts,News / Reading,Strongly agree,Disagree,Strongly agree,Strongly agree,No,Banner ads,Evening,No
05/02/2026 21:43:07,25–34,Working professional,Male,Android,More than 6 hours,,Video / OTT,Very often,Rewarded ads,Video / OTT,Strongly disagree,Disagree,Strongly disagree,Disagree,No,Sponsored content,Morning,No
05/02/2026 21:43:08,Below 18,Student,Female,iOS,2–4 hours,,,Very often,Sponsored posts,Education,Strongly disagree,Strongly disagree,Agree,Agree,Yes,Skippable video ads,Morning,No
05/02/2026 21:43:09,25–34,Other,Female,iOS,More than 6 hours,News / Reading,,Often,Video ads,Video / OTT,Neutral,Disagree,Agree,Disagree,Yes,Sponsored content,Afternoon,Yes
05/02/2026 21:43:09,25–34,Student,Female,iOS,More than 6 hours,,,Very often,Unskippable ads,Shopping / E-commerce,Strongly agree,Agree,Disagree,Agree,No,Sponsored content,Late night,Yes
05/02/2026 21:43:10,25–34,Student,Male,iOS,More than 6 hours,,"Video / OTT, Gaming",Sometimes,Unskippable ads,News / Reading,Strongly agree,Agree,Strongly disagree,Neutral,Yes,Rewarded ads,Afternoon,No
05/02/2026 21:43:10,25–34,Other,Male,iOS,2–4 hours,Shopping / E-commerce,,Often,Sponsored posts,Video / OTT,Strongly agree,Neutral,Agree,Agree,No,Rewarded ads,Morning,No
05/02/2026 21:43:11,18–24,Working professional,Female,Android,More than 6 hours,Gaming,Social Media,Sometimes,Unskippable ads,Gaming,Agree,Strongly agree,Strongly disagree,Agree,No,Rewarded ads,Late night,No
05/02/2026 21:43:11,25–34,Self-employed,Female,Android,More than 6 hours,Gaming,,Sometimes,Rewarded ads,Social Media,Disagree,Agree,Neutral,Neutral,No,Skippable video ads,Evening,No
05/02/2026 21:43:12,45+,Working professional,Male,Android,4–6 hours,Video / OTT,Gaming,Very often,Sponsored posts,Gaming,Strongly disagree,Agree,Strongly disagree,Neutral,No,Rewarded ads,Late night,Yes
05/02/2026 21:43:12,18–24,Student,Male,Android,More than 6 hours,Education,Gaming,Sometimes,Banner ads,Video / OTT,Disagree,Strongly disagree,Disagree,Agree,No,Banner ads,Morning,No
05/02/2026 21:43:13,25–34,Working professional,Male,Android,More than 6 hours,"Video / OTT, Shopping / E-commerce",Video / OTT,Very often,Banner ads,Social Media,Disagree,Agree,Strongly disagree,Neutral,No,Banner ads,Late night,Yes
05/02/2026 21:43:13,35–44,Self-employed,Female,iOS,2–4 hours,,Video / OTT,Often,Unskippable ads,Shopping / E-commerce,Strongly agree,Disagree,Strongly disagree,Strongly agree,Yes,None,Morning,Yes
05/02/2026 21:43:14,25–34,Student,Male,Android,Less than 2 hours,"Video / OTT, Shopping / E-commerce",,Very often,Unskippable ads,News / Reading,Neutral,Strongly disagree,Agree,Neutral,No,Banner ads,Late night,Yes
05/02/2026 21:43:14,25–34,Other,Female,iOS,More than 6 hours,,"Social Media, News / Reading",Very often,Unskippable ads,Education,Neutral,Neutral,Strongly agree,Disagree,Yes,Sponsored content,Late night,No
05/02/2026 21:43:15,Below 18,Working professional,Male,iOS,More than 6 hours,"Gaming, Shopping / E-commerce",,Very often,Video ads,Utility / Tools,Disagree,Agree,Disagree,Strongly agree,No,Skippable video ads,Morning,No
05/02/2026 21:43:15,18–24,Self-employed,Male,Android,2–4 hours,Education,,Sometimes,Unskippable ads,Shopping / E-commerce,Strongly disagree,Strongly agree,Strongly agree,Agree,No,Rewarded ads,Evening,No
05/02/2026 21:43:16,25–34,Working professional,Female,iOS,4–6 hours,Video / OTT,"Gaming, Utility / Tools",Often,Rewarded ads,Shopping / E-commerce,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Rewarded ads,Late night,No
05/02/2026 21:43:16,35–44,Other,Male,iOS,More than 6 hours,Video / OTT,"Utility / Tools, Education",Often,Unskippable ads,News / Reading,Neutral,Agree,Strongly agree,Neutral,No,Rewarded ads,Afternoon,Yes
05/02/2026 21:43:16,25–34,Student,Female,Android,More than 6 hours,"Video / OTT, Education",,Rarely,Banner ads,Education,Strongly disagree,Disagree,Disagree,Neutral,No,None,Late night,No
05/02/2026 21:43:17,45+,Student,Prefer not to say,Android,Less than 2 hours,"Video / OTT, Utility / Tools","Social Media, Education",Rarely,Unskippable ads,News / Reading,Neutral,Agree,Disagree,Neutral,No,Rewarded ads,Morning,Yes
05/02/2026 21:43:18,Below 18,Other,Female,iOS,4–6 hours,Gaming,Video / OTT,Rarely,Video ads,Video / OTT,Agree,Disagree,Strongly agree,Neutral,No,Rewarded ads,Afternoon,No
05/02/2026 21:43:18,18–24,Student,Male,Android,Less than 2 hours,Utility / Tools,Education,Rarely,Rewarded ads,Education,Strongly agree,Disagree,Strongly disagree,Strongly agree,No,Rewarded ads,Late night,Yes
05/02/2026 21:43:19,45+,Self-employed,Male,Android,2–4 hours,"Social Media, News / Reading",Social Media,Very often,Video ads,Shopping / E-commerce,Strongly agree,Strongly disagree,Strongly agree,Agree,No,Skippable video ads,Evening,Yes
05/02/2026 21:43:19,25–34,Working professional,Female,Android,More than 6 hours,"Social Media, Video / OTT",Video / OTT,Very often,Sponsored posts,Utility / Tools,Strongly agree,Disagree,Disagree,Agree,No,Skippable video ads,Morning,Yes
05/02/2026 21:43:20,18–24,Working professional,Female,Android,4–6 hours,Social Media,Video / OTT,Very often,Video ads,Utility / Tools,Neutral,Strongly disagree,Disagree,Neutral,Yes,Skippable video ads,Morning,Yes
05/02/2026 21:43:20,25–34,Working professional,Male,Android,4–6 hours,Video / OTT,,Rarely,Banner ads,Utility / Tools,Disagree,Strongly disagree,Strongly disagree,Neutral,No,Banner ads,Morning,No
05/02/2026 21:43:25,18–24,Student,Female,iOS,4–6 hours,Education,Gaming,Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes
05/02/2026 21:44:01,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Social Media, News / Reading, Education",Often,Banner ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,None,Late night,No
05/02/2026 21:44:04,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Rarely,Video ads,Video / OTT,Agree,Agree,Agree,Agree,No,Rewarded ads,Evening,No
05/02/2026 21:45:10,18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Banner ads,Gaming,Agree,Agree,Agree,Disagree,No,Banner ads,Evening,No
05/02/2026 21:48:37,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, Education",Sometimes,Unskippable ads,Social Media,Agree,Agree,Agree,Agree,Yes,Rewarded ads,,Yes
05/02/2026 21:48:55,18–24,Student,Male,Android,2–4 hours,"Social Media, Gaming, News / Reading, Education","Video / OTT, Gaming, News / Reading",Sometimes,Unskippable ads,Video / OTT,Neutral,Disagree,Neutral,Agree,Yes,Rewarded ads,Late night,No
05/02/2026 21:51:07,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Utility / Tools, Education","Social Media, Video / OTT, News / Reading",Very often,Unskippable ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Evening,Yes
05/02/2026 21:53:50,18–24,Student,Male,Android,4–6 hours,"Gaming, Shopping / E-commerce, Education","Shopping / E-commerce, News / Reading, Education",Sometimes,Video ads,Video / OTT,Disagree,Neutral,Neutral,Agree,Yes,Skippable video ads,Afternoon,Yes
05/02/2026 21:55:07,45+,Self-employed,Female,Android,4–6 hours,"Social Media, Video / OTT, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Often,Sponsored posts,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Late night,No
05/02/2026 22:03:53,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools","Social Media, Video / OTT, Utility / Tools",Sometimes,Sponsored posts,Social Media,Strongly agree,Neutral,Agree,Disagree,No,None,Late night,Yes
05/02/2026 22:04:42,Below 18,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Neutral,No,Rewarded ads,Late night,No
05/02/2026 22:10:35,Below 18,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Rarely,Banner ads,Video / OTT,Agree,Agree,Agree,Neutral,No,Rewarded ads,Late night,Yes
05/02/2026 22:11:36,18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Very often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Skippable video ads,Afternoon,No
05/02/2026 22:12:13,25–34,Other,Female,Android,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Often,Rewarded ads,Gaming,Neutral,Disagree,Neutral,Disagree,No,Skippable video ads,Afternoon,No
05/02/2026 22:13:34,45+,Working professional,Male,iOS,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, Shopping / E-commerce, Education",Rarely,Video ads,Video / OTT,Neutral,Disagree,Neutral,Disagree,No,Sponsored content,Afternoon,No
05/02/2026 22:15:48,18–24,Student,Prefer not to say,Android,2–4 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Very often,Unskippable ads,Education,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Skippable video ads,Afternoon,No
05/02/2026 22:15:52,Below 18,Student,Male,Android,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Often,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Banner ads,Afternoon,No
05/02/2026 22:16:04,Below 18,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Very often,Rewarded ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Morning,Yes
05/02/2026 22:16:19,18–24,Student,Male,iOS,More than 6 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Rarely,Banner ads,Social Media,Disagree,Disagree,Agree,Strongly disagree,Yes,Banner ads,Late night,Yes
05/02/2026 22:17:06,25–34,Working professional,Female,,4–6 hours,"Social Media, Video / OTT, News / Reading, Education","Social Media, Video / OTT, Utility / Tools, Education",Often,Video ads,Social Media,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Sponsored content,Evening,Yes
05/02/2026 22:18:07,Below 18,Student,Male,Android,More than 6 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Often,Unskippable ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Disagree,No,Skippable video ads,Late night,Yes
05/02/2026 22:18:47,25–34,Working professional,Male,iOS,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Utility / Tools, Education",Sometimes,Video ads,Video / OTT,Neutral,Agree,Agree,Agree,No,Skippable video ads,Morning,Yes
05/02/2026 22:19:56,18–24,Working professional,Male,Android,4–6 hours,"Social Media, News / Reading","Social Media, Video / OTT",Very often,Unskippable ads,Shopping / E-commerce,Strongly disagree,Agree,Strongly disagree,Agree,Yes,Sponsored content,Morning,No
05/02/2026 22:19:56,Below 18,Student,Prefer not to say,Android,More than 6 hours,"Gaming, News / Reading",Video / OTT,Rarely,Banner ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Agree,No,Sponsored content,Evening,No
05/02/2026 22:19:56,45+,Student,Prefer not to say,iOS,4–6 hours,"Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce",Very often,Rewarded ads,News / Reading,Strongly agree,Disagree,Neutral,Strongly agree,Yes,Banner ads,Evening,No
05/02/2026 22:19:56,18–24,Other,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Utility / Tools,Very often,Banner ads,Utility / Tools,Agree,Strongly agree,Neutral,Disagree,No,None,Morning,Yes
05/02/2026 22:19:56,35–44,Self-employed,Male,Android,4–6 hours,,"Video / OTT, Gaming, Education",Rarely,Sponsored posts,Gaming,Strongly disagree,Strongly disagree,Strongly agree,Agree,Yes,Rewarded ads,Evening,No
05/02/2026 22:19:56,35–44,Student,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Shopping / E-commerce, Education","Social Media, Video / OTT, Gaming, News / Reading",Very often,Banner ads,Video / OTT,Neutral,Agree,Strongly agree,Agree,No,Rewarded ads,Late night,No
